3554	4234.333333	3507.666667	3508.666667	4275	5406.333333	4962.666667	8241.666667	4880.666667
4539	3649	1984	3527	4068	5098	6135.666667	7114.333333	5919.666667
3583.333333	3519.666667	2795.333333	4644.333333	4094	6161.333333	5184.333333	7583.333333	5149.666667
5147.666667	3700	2042.666667	6260	5434.333333	3661.666667	5299.666667	8344.333333	5613
3983.333333	3578	1191.666667	3157.666667	2430	4877	5886.333333	8341.666667	5328.333333
3528	4539	3030.333333	4090.333333	5072.666667	6573.333333	6256	7537.333333	5175.333333
4831	3317.666667	1018.333333	4155	3941	5387	5350.666667	7831.666667	4504
4860.333333	3401.666667	1632.333333	3130	5697.333333	5612.666667	5189.333333	7124.666667	5829.333333
4286.333333	4212	3160.666667	4265.666667	4548.333333	5808.666667	5867.666667	7460	7008.333333
4712.666667	3736	2452.333333	3490.333333	4495	6176	4833.666667	6939	5917.666667
4122	4622	2985.333333	2806.666667	4323.333333	5117.333333	5683.333333	8054.333333	5626.666667
3976.666667	3556.666667	3713.666667	2853.333333	4338	5877.333333	5420	6882.333333	5206.333333
4503.666667	4108	2311	6011.333333	3693	5808.333333	5881.666667	8219.333333	5575
4702.666667	3434.666667	1241	2363.666667	4731	5058.333333	5609.333333	7537.333333	5532
4718.333333	4574.333333	3669.333333	5133.666667	6007	5955.666667	5041.333333	8191	5908.666667
4488	4569.333333	3810.666667	4616.666667	2982.333333	4597.666667	5434	7813.333333	4831
4010	4837.333333	4264.666667	3582.666667	3815.333333	5117.333333	4769	7412.333333	6654.666667
3560.333333	4266.666667	2929.666667	3342.666667	4663	5656.666667	5646	7182.333333	6305
3346.333333	3895.333333	3021.333333	4035	4267.666667	4945.666667	4815	6902	4909.666667
3753.333333	5290	3402.666667	3434.666667	5117	5435.666667	5110.666667	7575	5359
3775.333333	3494.333333	1456	3721	4806.666667	4779.333333	5480	7293.333333	6713.666667
