 1  1 3554.00000000 
 1  2 4234.33333333 
 1  3 5406.33333333 
 1  4 3507.66666667 
 1  5 4962.66666667 
 1  6 3508.66666667 
 1  7 8241.66666667 
 1  8 4880.66666667 
 1  9 4275.00000000 
 2  1 4539.00000000 
 2  2 3649.00000000 
 2  3 5098.00000000 
 2  4 1984.00000000 
 2  5 6135.66666667 
 2  6 3527.00000000 
 2  7 7114.33333333 
 2  8 5919.66666667 
 2  9 4068.00000000 
 3  1 3583.33333333 
 3  2 3519.66666667 
 3  3 6161.33333333 
 3  4 2795.33333333 
 3  5 5184.33333333 
 3  6 4644.33333333 
 3  7 7583.33333333 
 3  8 5149.66666667 
 3  9 4094.00000000 
 4  1 5147.66666667 
 4  2 3700.00000000 
 4  3 3661.66666667 
 4  4 2042.66666667 
 4  5 5299.66666667 
 4  6 6260.00000000 
 4  7 8344.33333333 
 4  8 5613.00000000 
 4  9 5434.33333333 
 5  1 3983.33333333 
 5  2 3578.00000000 
 5  3 4877.00000000 
 5  4 1191.66666667 
 5  5 5886.33333333 
 5  6 3157.66666667 
 5  7 8341.66666667 
 5  8 5328.33333333 
 5  9 2430.00000000 
 6  1 3528.00000000 
 6  2 4539.00000000 
 6  3 6573.33333333 
 6  4 3030.33333333 
 6  5 6256.00000000 
 6  6 4090.33333333 
 6  7 7537.33333333 
 6  8 5175.33333333 
 6  9 5072.66666667 
 7  1 4831.00000000 
 7  2 3317.66666667 
 7  3 5387.00000000 
 7  4 1018.33333333 
 7  5 5350.66666667 
 7  6 4155.00000000 
 7  7 7831.66666667 
 7  8 4504.00000000 
 7  9 3941.00000000 
 8  1 4860.33333333 
 8  2 3401.66666667 
 8  3 5612.66666667 
 8  4 1632.33333333 
 8  5 5189.33333333 
 8  6 3130.00000000 
 8  7 7124.66666667 
 8  8 5829.33333333 
 8  9 5697.33333333 
 9  1 4286.33333333 
 9  2 4212.00000000 
 9  3 5808.66666667 
 9  4 3160.66666667 
 9  5 5867.66666667 
 9  6 4265.66666667 
 9  7 7460.00000000 
 9  8 7008.33333333 
 9  9 4548.33333333 
 10  1 4712.66666667 
 10  2 3736.00000000 
 10  3 6176.00000000 
 10  4 2452.33333333 
 10  5 4833.66666667 
 10  6 3490.33333333 
 10  7 6939.00000000 
 10  8 5917.66666667 
 10  9 4495.00000000 
 11  1 4122.00000000 
 11  2 4622.00000000 
 11  3 5117.33333333 
 11  4 2985.33333333 
 11  5 5683.33333333 
 11  6 2806.66666667 
 11  7 8054.33333333 
 11  8 5626.66666667 
 11  9 4323.33333333 
 12  1 3976.66666667 
 12  2 3556.66666667 
 12  3 5877.33333333 
 12  4 3713.66666667 
 12  5 5420.00000000 
 12  6 2853.33333333 
 12  7 6882.33333333 
 12  8 5206.33333333 
 12  9 4338.00000000 
 13  1 4503.66666667 
 13  2 4108.00000000 
 13  3 5808.33333333 
 13  4 2311.00000000 
 13  5 5881.66666667 
 13  6 6011.33333333 
 13  7 8219.33333333 
 13  8 5575.00000000 
 13  9 3693.00000000 
 14  1 4702.66666667 
 14  2 3434.66666667 
 14  3 5058.33333333 
 14  4 1241.00000000 
 14  5 5609.33333333 
 14  6 2363.66666667 
 14  7 7537.33333333 
 14  8 5532.00000000 
 14  9 4731.00000000 
 15  1 4718.33333333 
 15  2 4574.33333333 
 15  3 5955.66666667 
 15  4 3669.33333333 
 15  5 5041.33333333 
 15  6 5133.66666667 
 15  7 8191.00000000 
 15  8 5908.66666667 
 15  9 6007.00000000 
 16  1 4488.00000000 
 16  2 4569.33333333 
 16  3 4597.66666667 
 16  4 3810.66666667 
 16  5 5434.00000000 
 16  6 4616.66666667 
 16  7 7813.33333333 
 16  8 4831.00000000 
 16  9 2982.33333333 
 17  1 4010.00000000 
 17  2 4837.33333333 
 17  3 5117.33333333 
 17  4 4264.66666667 
 17  5 4769.00000000 
 17  6 3582.66666667 
 17  7 7412.33333333 
 17  8 6654.66666667 
 17  9 3815.33333333 
 18  1 3560.33333333 
 18  2 4266.66666667 
 18  3 5656.66666667 
 18  4 2929.66666667 
 18  5 5646.00000000 
 18  6 3342.66666667 
 18  7 7182.33333333 
 18  8 6305.00000000 
 18  9 4663.00000000 
 19  1 3346.33333333 
 19  2 3895.33333333 
 19  3 4945.66666667 
 19  4 3021.33333333 
 19  5 4815.00000000 
 19  6 4035.00000000 
 19  7 6902.00000000 
 19  8 4909.66666667 
 19  9 4267.66666667 
 20  1 3753.33333333 
 20  2 5290.00000000 
 20  3 5435.66666667 
 20  4 3402.66666667 
 20  5 5110.66666667 
 20  6 3434.66666667 
 20  7 7575.00000000 
 20  8 5359.00000000 
 20  9 5117.00000000 
 21  1 3775.33333333 
 21  2 3494.33333333 
 21  3 4779.33333333 
 21  4 1456.00000000 
 21  5 5480.00000000 
 21  6 3721.00000000 
 21  7 7293.33333333 
 21  8 6713.66666667 
 21  9 4806.66666667 
